lon,lat
8.11856,49.1989
8.11856,49.1989
8.11856,49.1989
6.94777,48.2875
6.84384,48.5894
5.96373,48.6931
6.48818,48.6551
6.13386,48.3022
6.4494,48.1724
6.39335,48.3129
6.33295,48.5954
6.27948,48.7543
6.05513,48.4169
6.52836,48.118
6.71947,48.2113
6.2262,48.2212
6.49234,48.5922
6.29325,48.3723
6.18442,48.6921
6.71757,48.8103
6.05487,48.9033
6.94777,48.2875
6.84384,48.5894
5.96373,48.6931
6.48818,48.6551
6.13386,48.3022
6.4494,48.1724
6.39335,48.3129
6.33295,48.5954
6.27948,48.7543
6.05513,48.4169
6.52836,48.118
6.71947,48.2113
6.2262,48.2212
6.49234,48.5922
6.29325,48.3723
6.18442,48.6921
6.71757,48.8103
6.05487,48.9033
5.99599,48.9789
6.04725,48.085
7.42728,49.0504
6.94777,48.2875
6.84384,48.5894
5.96373,48.6931
6.48818,48.6551
6.13386,48.3022
6.4494,48.1724
6.39335,48.3129
6.33295,48.5954
6.27948,48.7543
6.05513,48.4169
6.52836,48.118
6.71947,48.2113
6.2262,48.2212
6.49234,48.5922
6.29325,48.3723
6.18442,48.6921
6.71757,48.8103
6.05487,48.9033
5.99599,48.9789
6.04725,48.085
7.42728,49.0504
6.94777,48.2875
6.84384,48.5894
5.96373,48.6931
6.48818,48.6551
6.13386,48.3022
6.4494,48.1724
6.39335,48.3129
6.33295,48.5954
6.27948,48.7543
6.05513,48.4169
6.52836,48.118
6.71947,48.2113
6.2262,48.2212
6.49234,48.5922
6.29325,48.3723
6.18442,48.6921
6.71757,48.8103
6.05487,48.9033
5.99599,48.9789
6.04725,48.085
7.42728,49.0504
6.94777,48.2875
6.84384,48.5894
5.96373,48.6931
6.48818,48.6551
6.13386,48.3022
6.4494,48.1724
6.39335,48.3129
6.33295,48.5954
6.27948,48.7543
6.05513,48.4169
6.52836,48.118
6.71947,48.2113
6.2262,48.2212
6.49234,48.5922
6.29325,48.3723
6.18442,48.6921
6.71757,48.8103
6.05487,48.9033
5.99599,48.9789
6.04725,48.085
7.42728,49.0504
6.94777,48.2875
6.84384,48.5894
5.96373,48.6931
6.48818,48.6551
