Decade,Century,Tried,Deaths,City_old,City,Region,Country,Longitude,Latitude,Part of Europe
1580,1500,1,0,Ingolstadt,Mittelfranken,Bayern,Germany,11.4258,48.7665,Western Europe
1580,1500,1,0,Freising,Mittelfranken,Bayern,Germany,11.7412,48.4029,Western Europe
1580,1500,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1590,1500,11,11,Schwabmunchen,Mittelfranken,Bayern,Germany,10.7557,48.18,Western Europe
1590,1500,65,63,Schongau,Mittelfranken,Bayern,Germany,10.8943,47.815,Western Europe
1590,1500,28,22,Ingolstadt,Mittelfranken,Bayern,Germany,11.4258,48.7665,Western Europe
1590,1500,52,52,Freising,Mittelfranken,Bayern,Germany,11.7412,48.4029,Western Europe
1590,1500,1,0,Straubing,Mittelfranken,Bayern,Germany,12.5802,48.8777,Western Europe
1590,1500,2,0,Kraiburg,Mittelfranken,Bayern,Germany,12.4313,48.1847,Western Europe
1590,1500,1,0,Abensberg,Mittelfranken,Bayern,Germany,11.8508,48.8177,Western Europe
1590,1500,10,1,Vohburg,Mittelfranken,Bayern,Germany,11.6227,48.766,Western Europe
1590,1500,2,2,Weilheim,Mittelfranken,Bayern,Germany,11.1421,47.8407,Western Europe
1590,1500,1,0,Essing,Mittelfranken,Bayern,Germany,11.7887,48.9352,Western Europe
1590,1500,1,0,Kelheim,Mittelfranken,Bayern,Germany,11.8866,48.9184,Western Europe
1590,1500,1,0,Pfaffenhofen,Mittelfranken,Bayern,Germany,11.4977,48.5325,Western Europe
1590,1500,6,0,Pfaffenhofen,Mittelfranken,Bayern,Germany,11.4977,48.5325,Western Europe
1590,1500,3,0,Erding,Mittelfranken,Bayern,Germany,11.9189,48.3115,Western Europe
1590,1500,1,0,Wolfratshausen,Mittelfranken,Bayern,Germany,11.4274,47.9102,Western Europe
1590,1500,1,0,Starnberg,Mittelfranken,Bayern,Germany,11.339,48.0,Western Europe
1590,1500,8,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
